nohup: ignoring input
Using config: Namespace(trial_name='simclr_trial', model_name='sim_clr', data_path='/data/amathur-23/ROB313', temperature=0.07, learning_rate=0.001, batch_size=16, epochs=30, early_stopping_patience=5, early_stopping_threshold=0.001, log_dir='./runs', model_save_path='/data/amathur-23/ROB313/models', gpu_id=0, seed=42, test_freq=5, pretrained=True, weight_decay=0.0001, train_backbone=True)
Loading meta file: /data/amathur-23/ROB313/train_unlabeled.csv
Using ResNet50 with 2048 FC input features
Start SimCLR training for 30 epochs.

Epoch: [0/30] (247/1891), Average loss: 1.8722, lr: 0.0010
Epoch: [0/30] (248/1891), Average loss: 1.8715, lr: 0.0010
Epoch: [0/30] (249/1891), Average loss: 1.8707, lr: 0.0010
Epoch: [0/30] (250/1891), Average loss: 1.8665, lr: 0.0010
Epoch: [0/30] (251/1891), Average loss: 1.8669, lr: 0.0010
Epoch: [0/30] (252/1891), Average loss: 1.8670, lr: 0.0010
Epoch: [0/30] (253/1891), Average loss: 1.8693, lr: 0.0010
Epoch: [0/30] (254/1891), Average loss: 1.8675, lr: 0.0010
Epoch: [0/30] (255/1891), Average loss: 1.8648, lr: 0.0010
Epoch: [0/30] (256/1891), Average loss: 1.8632, lr: 0.0010
Epoch: [0/30] (257/1891), Average loss: 1.8616, lr: 0.0010
Epoch: [0/30] (258/1891), Average loss: 1.8578, lr: 0.0010
Epoch: [0/30] (259/1891), Average loss: 1.8562, lr: 0.0010
Epoch: [0/30] (260/1891), Average loss: 1.8549, lr: 0.0010
Epoch: [0/30] (261/1891), Average loss: 1.8531, lr: 0.0010
Epoch: [0/30] (262/1891), Average loss: 1.8522, lr: 0.0010
Epoch: [0/30] (263/1891), Average loss: 1.8493, lr: 0.0010
Epoch: [0/30] (264/1891), Average loss: 1.8479, lr: 0.0010
Epoch: [0/30] (265/1891), Average loss: 1.8437, lr: 0.0010
Epoch: [0/30] (266/1891), Average loss: 1.8424, lr: 0.0010
Epoch: [0/30] (267/1891), Average loss: 1.8429, lr: 0.0010
Epoch: [0/30] (268/1891), Average loss: 1.8399, lr: 0.0010
Epoch: [0/30] (269/1891), Average loss: 1.8396, lr: 0.0010
Epoch: [0/30] (270/1891), Average loss: 1.8356, lr: 0.0010
Epoch: [0/30] (271/1891), Average loss: 1.8316, lr: 0.0010
Epoch: [0/30] (272/1891), Average loss: 1.8283, lr: 0.0010
Epoch: [0/30] (273/1891), Average loss: 1.8266, lr: 0.0010
Epoch: [0/30] (274/1891), Average loss: 1.8251, lr: 0.0010
Epoch: [0/30] (275/1891), Average loss: 1.8221, lr: 0.0010
Epoch: [0/30] (276/1891), Average loss: 1.8222, lr: 0.0010
Epoch: [0/30] (277/1891), Average loss: 1.8196, lr: 0.0010
Epoch: [0/30] (278/1891), Average loss: 1.8167, lr: 0.0010
Epoch: [0/30] (279/1891), Average loss: 1.8138, lr: 0.0010
Epoch: [0/30] (280/1891), Average loss: 1.8123, lr: 0.0010
Epoch: [0/30] (281/1891), Average loss: 1.8115, lr: 0.0010
Epoch: [0/30] (282/1891), Average loss: 1.8104, lr: 0.0010
Epoch: [0/30] (283/1891), Average loss: 1.8078, lr: 0.0010
Epoch: [0/30] (284/1891), Average loss: 1.8052, lr: 0.0010
Epoch: [0/30] (285/1891), Average loss: 1.8035, lr: 0.0010
Epoch: [0/30] (286/1891), Average loss: 1.8011, lr: 0.0010
